ClassId,Image,Category,CommonName,FamilyName,ScientificName,Height,Weight,Habitat,Lifespan,Description
404,Image/train/NOISY FRIARBIRD/001.jpg,Bird,Noisy Friarbird,Meliphagidae,Philemon corniculatus,31-36 cm,130-220 g,"Forests, woodlands, and gardens",Up to 15 years,"The Noisy Friarbird (Philemon corniculatus) is a large honeyeater species found in Australia and New Guinea. With its bare black head and loud vocalizations, it is often associated with forested habitats, including eucalyptus woodlands. Noisy Friarbirds primarily feed on nectar, fruits, and insects. Conservation efforts focus on preserving their diverse habitats, addressing potential threats such as habitat fragmentation, and promoting the planting of native flowering plants to provide essential food sources for these charismatic honeyeaters."
405,Image/train/NORTHERN BEARDLESS TYRANNULET/001.jpg,Bird,Northern Beardless Tyrannulet,Tyrannidae,Camptostoma imberbe,10-11 cm,7-10 g,"Forests, woodlands, and shrubby areas",Up to 10 years,"The Northern Beardless Tyrannulet (Camptostoma imberbe) is a small tyrant flycatcher found in parts of North and Central America. With its subtle plumage and insect-catching habits, it is often associated with wooded habitats, including forests and shrublands. Northern Beardless Tyrannulets primarily feed on insects and small invertebrates. Conservation efforts focus on preserving their diverse habitats, addressing potential threats such as habitat loss, and promoting awareness about the importance of insectivorous birds in maintaining balanced ecosystems."
406,Image/train/NORTHERN CARDINAL/001.jpg,Bird,Northern Cardinal,Cardinalidae,Cardinalis cardinalis,21-23 cm,42-48 g,"Woodlands, gardens, and urban areas",Up to 15 years,"The Northern Cardinal (Cardinalis cardinalis) is a medium-sized songbird found in North America. With its vibrant red plumage (in males) and melodic songs, it is often associated with various habitats, including gardens and woodlands. Northern Cardinals primarily feed on seeds, fruits, and insects. Conservation efforts related to Northern Cardinals involve habitat preservation, addressing potential threats such as habitat loss, and promoting awareness about the importance of providing food and shelter for these colorful and charismatic birds in diverse landscapes."
407,Image/train/NORTHERN FLICKER/001.jpg,Bird,Northern Flicker,Picidae,Colaptes auratus,28-36 cm,85-165 g,"Forests, woodlands, and open areas",Up to 9 years,"The Northern Flicker (Colaptes auratus) is a woodpecker species found across North America. With its distinctive spotted plumage and a combination of ground and tree foraging habits, it is often associated with open woodlands and urban areas. Northern Flickers primarily feed on insects, particularly ants and beetles, obtained by probing the ground with their long bills. Conservation efforts related to Northern Flickers involve habitat preservation, addressing potential threats such as habitat fragmentation, and promoting the importance of dead trees (snags) for nesting sites in various ecosystems."
408,Image/train/NORTHERN FULMAR/001.jpg,Bird,Northern Fulmar,Procellariidae,Fulmarus glacialis,43-52 cm,"800-1,200 g",Arctic and subarctic regions,Up to 40 years,"The Northern Fulmar (Fulmarus glacialis) is a seabird species found in the Northern Hemisphere, particularly in the Arctic and subarctic regions. With its mottled gray and white plumage, it is well-adapted to marine environments. Northern Fulmars primarily feed on fish and squid by surface-seizing. Conservation efforts focus on preserving their breeding sites on remote cliffs, addressing potential threats such as marine pollution, and promoting awareness about the importance of healthy marine ecosystems for the survival of seabird species like the Northern Fulmar."
409,Image/train/NORTHERN GANNET/001.jpg,Bird,Northern Gannet,Sulidae,Morus bassanus,84-110 cm,2.2-3.6 kg,Coastal cliffs and islands,Up to 25 years,"The Northern Gannet (Morus bassanus) is a large seabird species found in the North Atlantic, particularly in the coastal regions of the North Atlantic Ocean. With its elegant white plumage and distinctive black wingtips, it is often associated with marine environments. Northern Gannets primarily feed on fish obtained by plunge-diving from the air. Conservation efforts focus on preserving their breeding colonies on offshore islands, addressing potential threats such as overfishing and marine pollution, and promoting awareness about the critical role of healthy marine ecosystems for the survival of seabird species like the Northern Gannet."
410,Image/train/NORTHERN GOSHAWK/001.jpg,Bird,Northern Goshawk,Accipitridae,Accipiter gentilis,46-69 cm,"630-1,480 g","Forests, woodlands, and open areas",Up to 20 years,"The Northern Goshawk (Accipiter gentilis) is a large and powerful bird of prey found in North America, Europe, and Asia. With its distinctive gray plumage and fierce hunting skills, it is often associated with dense forests. Northern Goshawks primarily feed on birds and mammals. Conservation efforts focus on preserving their forest habitats, addressing potential threats such as habitat loss and illegal persecution, and promoting sustainable forestry practices to ensure the well-being of these formidable raptors in diverse ecosystems."
411,Image/train/NORTHERN JACANA/001.jpg,Bird,Northern Jacana,Jacanidae,Jacana spinosa,23-30 cm,75-125 g,"Wetlands, ponds, and marshes",Up to 9 years,"The Northern Jacana (Jacana spinosa) is a wader species found in the Americas. With its striking black, white, and yellow plumage and long toes adapted for walking on floating vegetation, it is often associated with freshwater habitats. Northern Jacanas primarily feed on insects and small invertebrates. Conservation efforts involve preserving their wetland habitats, addressing potential threats such as habitat degradation and water pollution, and promoting responsible tourism practices to minimize disturbances to nesting sites and foraging areas."
412,Image/train/NORTHERN MOCKINGBIRD/001.jpg,Bird,Northern Mockingbird,Mimidae,Mimus polyglottos,23 cm,40-58 g,"Urban areas, gardens, and open habitats",Up to 14 years,"The Northern Mockingbird (Mimus polyglottos) is a medium-sized songbird found in North America. With its gray plumage and exceptional vocal mimicry skills, it is often associated with various habitats, including urban areas. Northern Mockingbirds primarily feed on insects, berries, and fruits. Conservation efforts related to Northern Mockingbirds involve habitat preservation, addressing potential threats such as habitat loss and pesticide use, and promoting awareness about the importance of creating bird-friendly environments in both natural and human-altered landscapes."
413,Image/train/NORTHERN PARULA/001.jpg,Bird,Northern Parula,Parulidae,Setophaga americana,9-11 cm,6-12 g,"Forests, woodlands, and swamps",Up to 7 years,"The Northern Parula (Setophaga americana) is a small warbler species found in North America. With its vibrant blue and yellow plumage, it is often associated with deciduous forests. Northern Parulas primarily feed on insects, spiders, and other small invertebrates. Conservation efforts focus on preserving their forest habitats, addressing potential threats such as habitat fragmentation, and promoting sustainable forestry practices to ensure the well-being of these colorful and migratory warblers in their breeding and wintering grounds."
414,Image/train/NORTHERN RED BISHOP/001.jpg,Bird,Northern Red Bishop,Estrildidae,Euplectes franciscanus,10-11 cm,12-22 g,"Grasslands, savannas, and wetlands",Up to 8 years,"The Northern Red Bishop (Euplectes franciscanus) is a small passerine bird found in sub-Saharan Africa. With its bright red and black plumage, it is often associated with grasslands and marshes. Northern Red Bishops primarily feed on seeds and insects. Conservation efforts involve preserving their grassland habitats, addressing potential threats such as habitat loss due to agriculture, and promoting sustainable land use practices to protect the unique avian fauna of the regions they inhabit."
415,Image/train/NORTHERN SHOVELER/001.jpg,Bird,Northern Shoveler,Anatidae,Anas clypeata,44-52 cm,"520-1,360 g","Wetlands, lakes, and ponds",Up to 20 years,"The Northern Shoveler (Anas clypeata) is a duck species found in North America, Europe, and Asia. With its distinctive spatula-shaped bill, it is well-adapted for filter-feeding on small aquatic invertebrates. Northern Shovelers primarily feed in shallow waters. Conservation efforts related to Northern Shovelers focus on preserving their wetland habitats, addressing potential threats such as habitat loss and water pollution, and promoting responsible water management practices to ensure the availability of suitable feeding and nesting sites for these waterfowl."
416,Image/train/OCELLATED TURKEY/001.jpg,Bird,Ocellated Turkey,Phasianidae,Meleagris ocellata,70-92 cm,2.5-6 kg,Tropical forests and grasslands,Up to 10 years,"The Ocellated Turkey (Meleagris ocellata) is a large turkey species found in the Yucatán Peninsula of Mexico and parts of Central America. With its iridescent plumage and distinctive eye-shaped spots (ocelli), it is often associated with tropical forests. Ocellated Turkeys primarily feed on fruits, seeds, and insects. Conservation efforts focus on preserving their forest habitats, addressing potential threats such as habitat loss and hunting, and promoting community-based conservation initiatives to protect the unique avian fauna of the regions they inhabit."
417,Image/train/OCTOPUS/00dc9380ee.jpg,Invertebrate,Octopus,Octopodidae,Various species,Varies,Varies,Marine environments,Varies,"The Octopus is a highly intelligent and adaptable cephalopod mollusk found in oceans worldwide. With its soft body, beak-like mouth, and well-developed cognitive abilities, the octopus is a master of camouflage and tool use. Octopuses primarily feed on crustaceans, fish, and other small prey. Conservation efforts related to octopuses involve sustainable fisheries management, minimizing habitat destruction, and promoting awareness about the ecological importance of these fascinating marine creatures in maintaining balanced marine ecosystems."
418,Image/train/OILBIRD/1.jpg,Bird,Oilbird,Steatornithidae,Steatornis caripensis,40 cm,350-400 g,Caves in tropical forests,Up to 25 years,"The Oilbird (Steatornis caripensis), also known as the guácharo, is a nocturnal bird species found in South America. With its brown plumage and unique echolocation abilities, it is often associated with cave environments. Oilbirds primarily feed on fruits and navigate in complete darkness using echolocation. Conservation efforts involve preserving their cave habitats, addressing potential threats such as habitat disturbance and disturbance during breeding seasons, and promoting responsible ecotourism practices to minimize human impact on these fascinating and cave-dwelling birds."
419,Image/train/OKAPI/0096f61a76.jpg,Mammal,Okapi,Giraffidae,Okapia johnstoni,1.9-2.5 m,200-350 kg,Rainforests and dense woodlands,Up to 30 years,"The Okapi (Okapia johnstoni) is a forest-dwelling mammal found in the dense rainforests of central and northeastern Africa. With its reddish-brown coat and zebra-like stripes on the legs, it is closely related to the giraffe. Okapis primarily feed on leaves, fruits, and other plant material. Conservation efforts focus on preserving their forest habitats, addressing potential threats such as habitat loss and hunting, and promoting sustainable forestry practices to protect the unique fauna of the regions they inhabit, including the elusive and endangered okapi."
420,Image/train/OKINAWA RAIL/001.jpg,Bird,Okinawa Rail,Rallidae,Hypotaenidia okinawae,27-30 cm,50-70 g,"Forests and grasslands in Okinawa, Japan",Up to 5 years,"The Okinawa Rail (Gallirallus okinawae) is a flightless bird species endemic to the forests of Okinawa Island in Japan. With its brown plumage and secretive behavior, it is well-adapted to dense vegetation. Okinawa Rails primarily feed on insects, small invertebrates, and plant matter. Conservation efforts involve preserving their forest habitats, addressing potential threats such as habitat loss and invasive species, and implementing measures to protect this rare and localized species from extinction."
421,Image/train/ORANGE BREASTED TROGON/001.jpg,Bird,Orange-breasted Trogon,Trogonidae,Harpactes oreskios,25-30 cm,62-72 g,Rainforests and wooded areas,Up to 15 years,"The Orange-breasted Trogon (Harpactes oreskios) is a medium-sized trogon species found in Southeast Asia. With its vibrant orange and green plumage, it is often associated with evergreen forests. Orange-breasted Trogons primarily feed on fruits and insects. Conservation efforts focus on preserving their forest habitats, addressing potential threats such as habitat loss due to logging and land conversion, and promoting sustainable forestry practices to protect the unique avian fauna of the regions they inhabit."
422,Image/train/ORANGE BRESTED BUNTING/001.jpg,Bird,Orange-breasted Bunting,Cardinalidae,Passerina leclancherii,13-15 cm,10-18 g,"Grasslands, shrublands, and open areas",Up to 8 years,"The Orange-breasted Bunting (Passerina leclancherii) is a small songbird found in parts of Asia. With its bright orange and black plumage, it is often associated with grasslands and scrub habitats. Orange-breasted Buntings primarily feed on seeds and insects. Conservation efforts involve preserving their grassland habitats, addressing potential threats such as habitat loss due to agriculture and pesticide use, and promoting sustainable agricultural practices to ensure the well-being of these colorful buntings in their breeding and wintering grounds."
423,Image/train/ORANGUTAN/012c24438c.jpg,Mammal,Orangutan,Hominidae,Pongo spp.,1-1.5 m,30-82 kg,Rainforests,Up to 45 years,"The Orangutan is a large arboreal ape found in the rainforests of Borneo and Sumatra. With its distinctive reddish-brown fur and high intelligence, orangutans are well-adapted to life in the treetops. Orangutans primarily feed on fruits, leaves, and insects. Conservation efforts focus on preserving their forest habitats, addressing potential threats such as habitat loss due to logging and palm oil plantations, and implementing measures to prevent illegal hunting and capture for the pet trade, aiming to ensure the survival of these critically endangered great apes in their natural environments."
424,Image/train/ORIENTAL BAY OWL/001.jpg,Bird,Oriental Bay Owl,Tytonidae,Phodilus badius,30-34 cm,180-340 g,Forests and wooded areas,Up to 10 years,"The Oriental Bay Owl (Phodilus badius) is a medium-sized owl species found in parts of Southeast Asia. With its brown plumage and distinctive facial disc, it is well-adapted to nocturnal life. Oriental Bay Owls primarily feed on small mammals and birds. Conservation efforts involve preserving their forest habitats, addressing potential threats such as habitat loss and illegal logging, and promoting awareness about the importance of protecting owls and their habitats to maintain healthy ecosystems in the regions they inhabit."
425,Image/train/ORNATE HAWK EAGLE/001.jpg,Bird,Ornate Hawk-Eagle,Accipitridae,Spizaetus ornatus,46-76 cm,1-2.5 kg,Tropical and subtropical forests,Up to 20 years,"The Ornate Hawk-Eagle (Spizaetus ornatus) is a bird of prey found in the Americas, from Mexico to Argentina. With its striking black and white plumage and powerful build, it is often associated with tropical forests. Ornate Hawk-Eagles primarily feed on birds and mammals. Conservation efforts focus on preserving their forest habitats, addressing potential threats such as habitat loss and illegal hunting, and promoting sustainable land use practices to protect the unique avian fauna of the regions they inhabit."
426,Image/train/OSPREY/001.jpg,Bird,Osprey,Pandionidae,Pandion haliaetus,54-58 cm,1.0-2.1 kg,"Coastal areas, lakes, and rivers",Up to 25 years,"The Osprey (Pandion haliaetus) is a large raptor found worldwide, often near bodies of water. With its distinctive white head and dark eye stripe, it is well-adapted for catching fish. Ospreys primarily feed on fish obtained through aerial dives. Conservation efforts related to Ospreys involve habitat preservation, addressing potential threats such as habitat degradation and water pollution, and promoting the installation of nesting platforms to mitigate the impact of habitat loss on these iconic fish-eating raptors in both natural and artificial environments."
427,Image/train/OSTRICH/001.jpg,Bird,Ostrich,Struthionidae,Struthio camelus,2.1-2.8 m,90-130 kg,"Savannas, grasslands, and open areas",Up to 40 years,"The Ostrich (Struthio camelus) is a large flightless bird native to Africa. With its long legs and neck, it is well-adapted for running at high speeds. Ostriches primarily feed on seeds, plants, and small invertebrates. Conservation efforts focus on preserving their grassland and savannah habitats, addressing potential threats such as habitat loss and poaching for their feathers and meat, and promoting sustainable land use practices to protect the unique avian fauna of the regions they inhabit, including the largest and heaviest living bird species, the ostrich."
428,Image/train/OTTER/007fe7ce55.jpg,Mammal,Otter,Mustelidae,Various species,Varies,Varies,"Aquatic environments, rivers, and lakes",Varies,"The Otter is a semiaquatic mammal found in freshwater habitats worldwide. With its streamlined body and webbed feet, it is well-adapted for swimming and hunting aquatic prey. Otters primarily feed on fish, crustaceans, and amphibians. Conservation efforts related to otters involve habitat preservation, addressing potential threats such as water pollution and habitat destruction, and promoting responsible fishing practices to ensure the well-being of these playful and charismatic aquatic mammals in diverse aquatic ecosystems."
429,Image/train/OVENBIRD/001.jpg,Bird,Ovenbird,Parulidae,Seiurus aurocapilla,13-15 cm,14-23 g,"Forests, woodlands, and shrubby areas",Up to 10 years,"The Ovenbird (Seiurus aurocapilla) is a small songbird found in North and South America. With its olive-brown plumage and distinctive, oven-like nest, it is often associated with deciduous and mixed forests. Ovenbirds primarily feed on insects and other small invertebrates. Conservation efforts focus on preserving their forest habitats, addressing potential threats such as habitat fragmentation and pesticide use, and promoting sustainable forestry practices to ensure the well-being of these ground-nesting warblers in their breeding and wintering grounds."
430,Image/train/OWL/002bb8e03b.jpg,Bird,Owl,Strigiformes,Various species,Varies,Varies,"Various habitats including forests, woodlands, and grasslands",Varies,"The Owl is a diverse group of birds of prey found worldwide, known for their nocturnal habits and unique adaptations for hunting in low light. Owls have specialized facial discs and silent flight. Various owl species have diverse diets, including rodents, birds, and insects. Conservation efforts related to owls involve habitat preservation, addressing potential threats such as habitat loss and pesticide use, and promoting awareness about the ecological importance of these nocturnal hunters in maintaining balanced ecosystems in diverse landscapes."
431,Image/train/OX/05cadddfcd.jpg,Mammal,Ox,Bovidae,Bos spp.,Varies,Varies,"Various habitats including grasslands, forests, and savannas",Varies,"The Ox is a domesticated mammal used for various purposes, including agriculture, transportation, and as a source of meat and milk. Domesticated oxen are typically castrated male cattle. Oxen primarily feed on grasses and grains provided by humans. Conservation efforts related to domesticated oxen involve promoting responsible and sustainable agricultural practices, addressing animal welfare concerns, and supporting the preservation of traditional farming methods that involve the use of oxen as draft animals, contributing to sustainable agriculture in different cultural contexts."
432,Image/train/OYSTER/07955b72df.jpg,Mollusk,Oyster,Ostreidae,Various species,Varies,Varies,Marine environments,Varies,"The Oyster is a bivalve mollusk found in marine and brackish water habitats worldwide. Oysters have a hard shell that provides protection and support. Oysters primarily feed by filtering plankton and organic particles from the water. Conservation efforts related to oysters involve sustainable fisheries management, addressing potential threats such as overharvesting and habitat degradation, and promoting responsible aquaculture practices to ensure the health and abundance of oyster populations, contributing to the ecological balance of estuarine and coastal ecosystems where they play a crucial role as filter feeders."
433,Image/train/OYSTER CATCHER/001.jpg,Bird,Oystercatcher,Haematopodidae,Various species,Varies,Varies,"Coastal areas, beaches, and mudflats",Varies,"The Oystercatcher is a group of waders in the Haematopodidae family found in coastal habitats worldwide. With their distinctive long bills and black and white plumage, oystercatchers are well-adapted to foraging on intertidal areas. Oystercatchers primarily feed on shellfish and other invertebrates. Conservation efforts related to oystercatchers involve habitat preservation, addressing potential threats such as habitat loss and disturbance, and promoting responsible coastal management practices to ensure the availability of suitable feeding and nesting sites for these charismatic shorebirds in diverse coastal ecosystems."
434,Image/train/PAINTED BUNTING/001.jpg,Bird,Painted Bunting,Cardinalidae,Passerina ciris,12-14 cm,11-19 g,"Grasslands, woodlands, and gardens",Up to 9 years,"The Painted Bunting (Passerina ciris) is a small songbird found in North America. With its vibrant plumage featuring a mix of blue, green, and red, it is often associated with grasslands, scrub, and woodland edges. Painted Buntings primarily feed on seeds, fruits, and insects. Conservation efforts involve preserving their diverse habitats, addressing potential threats such as habitat loss due to agriculture and urbanization, and promoting responsible bird-watching practices to minimize disturbances to these colorful and migratory songbirds during their breeding and wintering seasons."
435,Image/train/PALILA/001.jpg,Bird,Palila,Fringillidae,Loxioides bailleui,18-20 cm,38-51 g,Subalpine and alpine forests,Up to 10 years,"The Palila (Loxioides bailleui) is a species of honeycreeper found only on the Hawaiian island of Mauna Kea. With its yellow and olive plumage, it is well-adapted to the subalpine shrubland habitat. Palilas primarily feed on the seeds of the native mamane tree. Conservation efforts focus on preserving their unique habitat, addressing potential threats such as habitat degradation due to invasive species and climate change, and implementing measures to protect these critically endangered honeycreepers from avian diseases introduced by non-native species."
436,Image/train/PALM NUT VULTURE/001.jpg,Bird,Palm Nut Vulture,Accipitridae,Gypohierax angolensis,58-66 cm,1.6-2.4 kg,Forests and wooded areas,Up to 30 years,"The Palm-nut Vulture (Gypohierax angolensis) is a large bird of prey found in sub-Saharan Africa. With its distinctive bare face and long, hooked bill, it is well-adapted for feeding on the oily fruit of the oil palm. Palm-nut Vultures primarily feed on fruits and palm nuts, and they are known for their specialized diet. Conservation efforts involve preserving their forest and savannah habitats, addressing potential threats such as habitat loss due to agriculture, and promoting sustainable land use practices to protect the unique avian fauna of the regions they inhabit, including this specialized vulture species."
437,Image/train/PANDA/03b7ec608a.jpg,Mammal,Panda,Ursidae,Ailuropoda melanoleuca,1.2-1.9 m,75-160 kg,Bamboo forests,Up to 20 years,"The Panda, or Giant Panda (Ailuropoda melanoleuca), is a large bear species native to China. With its distinctive black and white fur, it is well-adapted to bamboo forest habitats. Pandas primarily feed on bamboo, but they are omnivores and can consume small mammals and birds occasionally. Conservation efforts for pandas focus on habitat preservation, addressing potential threats such as habitat fragmentation and human-wildlife conflict, and supporting captive breeding programs to ensure the survival of this endangered species, which has become a symbol of wildlife conservation worldwide."
438,Image/train/PARADISE TANAGER/001.jpg,Bird,Paradise Tanager,Thraupidae,Tangara spp.,10-15 cm,8-25 g,"Rainforests, cloud forests, and gardens",Up to 10 years,"The Paradise Tanager (Tangara chilensis) is a vibrant and colorful bird species found in South America, particularly in the Amazon Basin. With its striking combination of blue, green, and yellow plumage, it is often associated with tropical rainforests. Paradise Tanagers primarily feed on fruits and insects. Conservation efforts involve preserving their forest habitats, addressing potential threats such as habitat loss due to deforestation and the pet trade, and promoting sustainable forestry practices to protect the unique avian fauna of the regions they inhabit, including this visually stunning tanager."
439,Image/train/PARAKETT  AUKLET/001.jpg,Bird,Parakeet Auklet,Alcidae,Aethia psittacula,23-25 cm,175-225 g,Coastal cliffs and rocky areas,Up to 15 years,"The Parakeet Auklet (Aethia psittacula) is a small seabird species found in the North Pacific, particularly in the Bering Sea and the Sea of Japan. With its distinctive appearance, including a colorful bill and facial markings, it is well-adapted to marine environments. Parakeet Auklets primarily feed on small fish and zooplankton. Conservation efforts related to Parakeet Auklets involve monitoring their breeding colonies, addressing potential threats such as oil spills and changes in oceanic conditions, and promoting responsible marine conservation practices to ensure the well-being of these charismatic seabirds in their nesting and foraging areas."
440,Image/train/PARROT/0100ec7408.jpg,Bird,Parrot,Psittacidae,Various species,Varies,Varies,Tropical and subtropical regions,Varies,"The Parrot is a diverse group of colorful and intelligent birds found worldwide. With their strong beaks, zygodactyl feet, and ability to mimic sounds, parrots are well-adapted to their arboreal habitats. Parrots primarily feed on fruits, seeds, and nuts. Conservation efforts related to parrots involve habitat preservation, addressing potential threats such as illegal pet trade and habitat destruction, and promoting responsible pet ownership to ensure the well-being of these charismatic and often endangered birds that play crucial roles in the ecosystems they inhabit."
441,Image/train/PARUS MAJOR/001.jpg,Bird,Parus Major,Paridae,Parus major,13 cm,16-21 g,"Woodlands, gardens, and urban areas",Up to 11 years,"Parus Major, commonly known as the Great Tit, is a small passerine bird found in Europe and Asia. With its distinctive black, white, and yellow plumage, it is often associated with gardens and woodlands. Great Tits primarily feed on insects and seeds. Conservation efforts focus on creating and maintaining suitable nesting and feeding habitats, addressing potential threats such as pesticide use and habitat loss, and promoting bird-friendly practices in urban and rural landscapes to support the populations of this lively and adaptable songbird."
442,Image/train/PATAGONIAN SIERRA FINCH/001.jpg,Bird,Patagonian Sierra Finch,Thraupidae,Phrygilus patagonicus,15 cm,14-20 g,Alpine and subalpine regions,Up to 6 years,"The Patagonian Sierra Finch (Phrygilus patagonicus) is a small bird species native to South America, particularly in the Andes and Patagonian regions. With its brown and streaked plumage, it is well-adapted to alpine and subalpine habitats. Patagonian Sierra Finches primarily feed on seeds and insects. Conservation efforts involve monitoring their populations, addressing potential threats such as climate change and habitat degradation, and promoting sustainable land use practices to protect the unique avian fauna of the high-altitude ecosystems they inhabit."
443,Image/train/PEACOCK/001.jpg,Bird,Peacock,Phasianidae,Pavo cristatus,86-107 cm,2.8-6 kg,"Grasslands, forests, and open areas",Up to 20 years,"The Peacock (Pavo cristatus) is a large and colorful bird known for its vibrant plumage and distinctive train of feathers. Native to South Asia, peafowls are often associated with open forests. Peacocks primarily feed on seeds, fruits, and insects. Conservation efforts related to peafowls involve habitat preservation, addressing potential threats such as habitat loss and poaching, and promoting awareness about the cultural and ecological significance of these birds to ensure their protection in both natural and human-modified landscapes."
444,Image/train/PELECANIFORMES/005b5e9644.jpg,Bird,Pelecaniformes,Various families,Various species,Varies,Varies,Coastal and aquatic environments,Varies,"Pelecaniformes is an order of aquatic birds that includes pelicans, cormorants, and their relatives. These birds are characterized by their webbed feet and specialized beaks for capturing and consuming fish. Pelecaniformes are found in diverse aquatic habitats worldwide. Conservation efforts related to Pelecaniformes involve habitat preservation, addressing potential threats such as overfishing and habitat degradation, and promoting sustainable fisheries management practices to ensure the well-being of these charismatic and ecologically important birds in coastal and freshwater ecosystems."
445,Image/train/PENGUIN/0a1f4371e3.jpg,Bird,Penguin,Spheniscidae,Various species,Varies,Varies,"Antarctic, subantarctic, and temperate regions",Varies,"The Penguin is a group of flightless seabirds found in the Southern Hemisphere, particularly in Antarctica, South America, Africa, Australia, and New Zealand. Penguins are known for their upright posture and distinctive black and white plumage. They are well-adapted to marine environments. Penguins primarily feed on fish and squid. Conservation efforts related to penguins involve monitoring their colonies, addressing potential threats such as climate change and overfishing, and promoting responsible marine conservation practices to ensure the survival of these iconic birds in their natural habitats."
446,Image/train/PEREGRINE FALCON/001.jpg,Bird,Peregrine Falcon,Falconidae,Falco peregrinus,36-49 cm,"580-1,600 g","Cliffs, cities, and open habitats",Up to 15 years,"The Peregrine Falcon (Falco peregrinus) is a powerful bird of prey found worldwide. With its swift flight and keen eyesight, it is an adept hunter. Peregrine Falcons primarily feed on other birds captured in mid-air. Conservation efforts for Peregrine Falcons involve habitat preservation, addressing potential threats such as pesticide contamination and illegal hunting, and implementing nesting programs to support their recovery from population declines caused by environmental pollutants. Peregrine Falcons are known for their adaptation to urban environments, where they often nest on skyscrapers and cliffs."
447,Image/train/PHAINOPEPLA/001.jpg,Bird,Phainopepla,Ptiliogonatidae,Phainopepla nitens,18 cm,27-45 g,"Deserts, woodlands, and scrublands",Up to 8 years,"The Phainopepla (Phainopepla nitens) is a small bird found in the southwestern United States and Mexico. With its glossy black plumage and distinctive crest, it is often associated with desert habitats. Phainopeplas primarily feed on mistletoe berries and insects. Conservation efforts focus on preserving their desert habitats, addressing potential threats such as habitat fragmentation and climate change, and promoting awareness about the unique ecology of these birds, including their role in mistletoe dispersal, to ensure their conservation in arid landscapes."
448,Image/train/PHILIPPINE EAGLE/001.jpg,Bird,Philippine Eagle,Accipitridae,Pithecophaga jefferyi,102 cm,4.5-8 kg,Tropical rainforests,Up to 40 years,"The Philippine Eagle (Pithecophaga jefferyi) is a critically endangered bird of prey found in the Philippines. With its large size and distinctive appearance, it is often considered the national bird of the Philippines. Philippine Eagles primarily feed on monkeys and other small mammals. Conservation efforts for the Philippine Eagle involve habitat preservation, addressing potential threats such as logging and habitat fragmentation, and implementing conservation programs to protect these majestic raptors from extinction, including captive breeding and release initiatives to boost their populations in their remaining forest habitats."
449,Image/train/PIG/00ddea87ad.jpg,Mammal,Pig,Suidae,Sus scrofa,Varies,Varies,"Various habitats including forests, grasslands, and farms",Up to 25 years,"The Pig is a domesticated mammal known for its intelligence and social behavior. Domestic pigs (Sus scrofa domesticus) are descendants of wild boars. Pigs primarily feed on a varied diet, including grains, fruits, and vegetables. Conservation efforts related to domestic pigs involve promoting responsible and sustainable farming practices, addressing concerns related to animal welfare, and supporting initiatives that focus on maintaining genetic diversity in pig populations, ensuring their well-being in agricultural settings."
450,Image/train/PIGEON/00daf2d027.jpg,Bird,Pigeon,Columbidae,Various species,Varies,Varies,"Various habitats including forests, urban areas, and mountains",Varies,"The Pigeon is a group of birds belonging to the family Columbidae. Pigeons are found worldwide and are known for their adaptability to urban environments. They have diverse plumage colors and patterns. Pigeons primarily feed on seeds and grains. Conservation efforts related to pigeons involve coexistence in urban areas, addressing potential threats such as poisoning and habitat loss, and promoting responsible waste disposal practices to reduce reliance on human-provided food sources. Pigeons play important roles in ecosystems as seed dispersers and are valued for their interactions with humans throughout history."
451,Image/train/PINK ROBIN/001.jpg,Bird,Pink Robin,Petroicidae,Petroica rodinogaster,12-14 cm,10-15 g,Rainforests and scrubby habitats,Up to 7 years,"The Pink Robin (Petroica rodinogaster) is a small and colorful songbird found in Australia. With its pink and gray plumage, it is often associated with dense forests and woodlands. Pink Robins primarily feed on insects and other small invertebrates. Conservation efforts focus on preserving their forest habitats, addressing potential threats such as habitat loss and climate change, and promoting responsible bird-watching practices to minimize disturbances to these visually striking and locally beloved songbirds during their breeding and nesting seasons."
452,Image/train/PLUSH CRESTED JAY/001.jpg,Bird,Plush-crested Jay,Corvidae,Cyanocorax chrysops,30-35 cm,80-120 g,Tropical and subtropical forests,Up to 18 years,"The Plush-crested Jay (Cyanocorax chrysops) is a striking bird found in South America, particularly in the Amazon Basin. With its blue and yellow plumage and distinctive crest, it is often seen in open woodlands and savannas. Plush-crested Jays primarily feed on fruits, insects, and small vertebrates. Conservation efforts involve monitoring their populations, addressing potential threats such as habitat fragmentation and the pet trade, and promoting sustainable land use practices to protect the unique avian fauna of the regions they inhabit, including this visually stunning and socially vocal jay species."
453,Image/train/POMARINE JAEGER/001.jpg,Bird,Pomarine Jaeger,Stercorariidae,Stercorarius pomarinus,47-64 cm,450-860 g,Open seas and coastal areas,Up to 25 years,"The Pomarine Jaeger (Stercorarius pomarinus) is a seabird found in the Arctic and subarctic regions. With its distinctive plumage and aerial agility, it is well-adapted to marine environments. Pomarine Jaegers primarily feed on fish and engage in kleptoparasitism by stealing prey from other seabirds. Conservation efforts related to Pomarine Jaegers involve monitoring their breeding colonies, addressing potential threats such as climate change and overfishing, and promoting responsible marine conservation practices to ensure the well-being of these powerful and migratory seabirds in their nesting and foraging areas."
